"","mean.kcrate.nM.hr","sd.kcrate.nM.hr","stn","depthid","site","expt","substrate","timepoint"
"stn7-d5-bulk-fuc-t1",2.62,2.49,"7","d5","7.d5","bulk","fuc","t1"
"stn7-d5-bulk-lam-t3",3.1,0.65,"7","d5","7.d5","bulk","lam","t3"
"stn7-d5-bulk-pul-t1",11.35,16.16,"7","d5","7.d5","bulk","pul","t1"
"stn7-d5-bulk-xyl-t4",3.3,1.21,"7","d5","7.d5","bulk","xyl","t4"
"stn8-d1-bulk-ara-t1",0.6,0.96,"8","d1","8.d1","bulk","ara","t1"
"stn8-d1-bulk-chon-t2",17.38,1.93,"8","d1","8.d1","bulk","chon","t2"
"stn8-d1-bulk-fuc-t1",3.22,5.57,"8","d1","8.d1","bulk","fuc","t1"
"stn8-d1-bulk-lam-t2",4.69,1.26,"8","d1","8.d1","bulk","lam","t2"
"stn8-d1-bulk-pul-t1",17.06,20.7,"8","d1","8.d1","bulk","pul","t1"
"stn8-d1-bulk-xyl-t2",0.41,0.56,"8","d1","8.d1","bulk","xyl","t2"
"stn8-d2-bulk-ara-t1",0.35,0.11,"8","d2","8.d2","bulk","ara","t1"
"stn8-d2-bulk-chon-t2",19.78,0.53,"8","d2","8.d2","bulk","chon","t2"
"stn8-d2-bulk-fuc-t1",10.26,13.89,"8","d2","8.d2","bulk","fuc","t1"
"stn8-d2-bulk-lam-t2",6.21,1.31,"8","d2","8.d2","bulk","lam","t2"
"stn8-d2-bulk-pul-t1",7.77,13.46,"8","d2","8.d2","bulk","pul","t1"
"stn8-d2-bulk-xyl-t1",1.08,1.75,"8","d2","8.d2","bulk","xyl","t1"
"stn8-d3-bulk-ara-t1",1.51,0.64,"8","d3","8.d3","bulk","ara","t1"
"stn8-d3-bulk-chon-t3",7.13,0.3,"8","d3","8.d3","bulk","chon","t3"
"stn8-d3-bulk-fuc-t2",3.55,6.11,"8","d3","8.d3","bulk","fuc","t2"
"stn8-d3-bulk-lam-t3",4.71,0.61,"8","d3","8.d3","bulk","lam","t3"
"stn8-d3-bulk-pul-t1",16.63,28.81,"8","d3","8.d3","bulk","pul","t1"
"stn8-d3-bulk-xyl-t5",1.5,0.58,"8","d3","8.d3","bulk","xyl","t5"
"stn8-d4-bulk-ara-t3",0.19,0.02,"8","d4","8.d4","bulk","ara","t3"
"stn8-d4-bulk-chon-t4",2.92,1.83,"8","d4","8.d4","bulk","chon","t4"
"stn8-d4-bulk-fuc-t1",0.8,1.39,"8","d4","8.d4","bulk","fuc","t1"
"stn8-d4-bulk-lam-t4",2.1,1.44,"8","d4","8.d4","bulk","lam","t4"
"stn8-d4-bulk-pul-t2",4.64,7.44,"8","d4","8.d4","bulk","pul","t2"
"stn8-d4-bulk-xyl-t5",2.3,0.64,"8","d4","8.d4","bulk","xyl","t5"
"stn8-d5-bulk-ara-t6",0.13,0.22,"8","d5","8.d5","bulk","ara","t6"
"stn8-d5-bulk-chon-t4",2.57,2.25,"8","d5","8.d5","bulk","chon","t4"
"stn8-d5-bulk-fuc-t1",2.32,1.26,"8","d5","8.d5","bulk","fuc","t1"
"stn8-d5-bulk-lam-t2",7.06,3.58,"8","d5","8.d5","bulk","lam","t2"
"stn8-d5-bulk-pul-t1",6.19,9.83,"8","d5","8.d5","bulk","pul","t1"
"stn8-d5-bulk-xyl-t5",2.56,0.1,"8","d5","8.d5","bulk","xyl","t5"
